"condition","group","question","value","trial_index","ID","FastorSlow","measure"
"immoral",1,"Justin_Q2",1,2,"18","f","character"
"immoral",1,"Justin_Q3",1,3,"18","f","character"
"immoral",1,"Justin_Q4",3,4,"18","f","character"
"immoral",1,"Justin_Q5",NA,5,"18","f","certainty"
"immoral",1,"Justin_Q6",6,6,"18","f","certainty"
"immoral",1,"Justin_Q7",6,7,"18","f","certainty"
"immoral",1,"Justin_Q8",NA,8,"18","f","certainty"
"immoral",1,"Justin_Q9",5,9,"18","f","impulsivity"
"immoral",1,"Justin_Q10",NA,10,"18","f","impulsivity"
"immoral",1,"Nate_Q1",NA,11,"18","s","quickness"
"immoral",1,"Nate_Q2",4,12,"18","s","character"
"immoral",1,"Nate_Q3",5,13,"18","s","character"
"immoral",1,"Nate_Q4",6,14,"18","s","character"
"immoral",1,"Nate_Q5",6,15,"18","s","certainty"
"immoral",1,"Nate_Q6",2,16,"18","s","certainty"
"immoral",1,"Nate_Q7",NA,17,"18","s","certainty"
"immoral",1,"Nate_Q8",6,18,"18","s","certainty"
"immoral",1,"Nate_Q9",1,19,"18","s","impulsivity"
"immoral",1,"Nate_Q10",3,20,"18","s","impulsivity"
"immoral",1,"Justin_Q1",1,1,"19","f","quickness"
"immoral",1,"Justin_Q2",2,2,"19","f","character"
"immoral",1,"Justin_Q3",1,3,"19","f","character"
"immoral",1,"Justin_Q4",2,4,"19","f","character"
"immoral",1,"Justin_Q5",1,5,"19","f","certainty"
"immoral",1,"Justin_Q6",5,6,"19","f","certainty"
"immoral",1,"Justin_Q7",5,7,"19","f","certainty"
"immoral",1,"Justin_Q8",5,8,"19","f","certainty"
"immoral",1,"Justin_Q9",5,9,"19","f","impulsivity"
"immoral",1,"Justin_Q10",1,10,"19","f","impulsivity"
"immoral",1,"Nate_Q1",1,11,"19","s","quickness"
"immoral",1,"Nate_Q2",4,12,"19","s","character"
"immoral",1,"Nate_Q3",4,13,"19","s","character"
"immoral",1,"Nate_Q4",3,14,"19","s","character"
"immoral",1,"Nate_Q5",4,15,"19","s","certainty"
"immoral",1,"Nate_Q6",3,16,"19","s","certainty"
"immoral",1,"Nate_Q7",3,17,"19","s","certainty"
"immoral",1,"Nate_Q8",4,18,"19","s","certainty"
